1343716,013010002,일회용품,종이필터류,식용유 정제기 필터 322X382 (2구용),100p,BOX,2,기본 배송비(무료배송),n,,,25000,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1343717,013009001,일회용품,테이프,오공 물레방아 리필용 문구테이프 16mm x 25m,36EA,BOX,2,기본 배송비(무료배송),n,,,18000,y,쿠팡,자동발주,n,y,,,공통,y,,y,
1345941,,자체물류,샐러드,콘샐러드(낱개),,EA,1,,,,,400,y,,수동발주,n,n,,,공통,,,y,
1345942,,,,핫칠리 소스 (낱개),,EA,1,,,,,200,y,,수동발주,n,n,,,공통,,,y,
1346038,,자체물류,분말류,떡볶이 분말 (봉),5kg,EA,1,,,,,42000,y,,수동발주,n,n,,,공통,y,,y,
1346039,,자체물류,즉석식품,떡볶이(분말미포함),10,EA,1,,,,,6600,y,,수동발주,y,n,,,공통,,,,
1348992,,일회용품,종이용기,내유 종이봉투-1호(무지/크라프트),1000,EA,2,기본 배송비(무료배송),n,,,36500,y,,수동발주,n,y,,,공통,y,,y,y
1349023,,일회용품,플라스틱용기,생맥주용기 1000cc,99,EA,2,기본 배송비(무료배송),n,,,29500,y,배민상회,자동발주,n,y,,,공통,y,,y,
1349025,,자체물류,수산가공품,어묵(슬라이스),3kg,EA,1,,,,,12000,y,,수동발주,n,n,,,공통,,,,
1349375,,냉동식품,냉동튀김류,크레잇 롱오리지널츄러스,1.05Kg,EA,2,CJ프레시웨이,y,,,10560,y,CJ프레시웨이,수동발주,n,n,,,공통,,,,
1349376,,분말류,,이든 시나몬설탕,500g,EA,2,CJ프레시웨이,y,,,5610,y,CJ프레시웨이,수동발주,n,n,,,공통,,,,
1349377,,농산물,곡류,[CJ] 황등농협_온미 쌀,20kg,EA,2,CJ프레시웨이,y,,,39700,n,,수동발주,n,y,,1,공통,,y,,y
1349930,,일회용품,스티커,[배민] 스티커 - 고객님을 위한 써비스,1000,EA,2,배민상회자체,y,,,15100,y,배민상회,자동 묶음발주,n,y,,,공통,y,,y,
1349977,,자체물류,분말류,통파우더(벌크),5kg,EA,1,,,,,14850,y,,수동발주,n,n,,,공통,y,,y,
1349979,,일회용품,종이용기,크라프트 1300cc 종이용기 세트,300p,BOX,2,기본 배송비(무료배송),n,,,66000,y,,자동발주,n,y,,,공통,,,,
1353901,,일회용품,스티커,손글씨 스티커,1000,EA,2,기본 배송비(무료배송),n,,,39600,y,네이버쇼핑,자동발주,n,y,,,공통,y,,y,
1356071,,음료류,,"탐사 샘물, 500ml, 80개 (생수)",80,EA,2,기본 배송비(무료배송),n,,,15000,y,쿠팡,자동발주,n,y,,,공통,y,y,y,y
1356119,,축산물,알류,[CJ] 세척특란 30입 x 5 (계란),30구x5,PAC,2,CJ프레시웨이,y,,국내산,28000,n,,자동발주,y,y,,,공통,,y,,y
1356470,,일회용품,,포스용지 79x70 50롤 감열지 (영수증),50롤,BOX,2,기본 배송비(무료배송),n,,,37000,y,네이버쇼핑,자동발주,n,y,,,공통,y,,y,
1361833,,냉동식품,냉동감자튀김,심플로트 블루리본 슈스트링 프라이 감자튀김,2.72kgx6,BOX,1,,,,,49830,y,,수동발주,n,n,,,공통,y,,y,
1361834,,자체물류,소스류(상온),핫양념 소스,7kg,EA,1,,,,,26180,y,,수동발주,n,n,,,공통,y,,y,
1361849,,조미료,분말조미료,상상 시나몬 슈가,1kg,EA,2,상상,y,,,10000,y,,자동발주,n,n,,,공통,,,,
1370492,,조미료,분말조미료,크노르 치킨파우더 (치킨스톡) BOX,1kg x 6,BOX,2,기본 배송비(무료배송),n,,,72000,y,,자동발주,n,y,,,공통,,y,y,y
1372348,,조미료,유지류,[CJ] 황금찬 대두유 식용유(18L),18L,EA,2,CJ프레시웨이,y,,,36000,y,CJ프레시웨이,자동발주,n,y,,2,공통,,y,,
1375809,,토핑,건야채,[다봄] 삼도 튀긴마늘 후레이크,500g,EA,3,다봄푸드,y,,,7280,y,,자동발주,n,y,,,공통,y,y,y,y
1378389,,농산물,채소류,"[다봄] 양배추 3개입 (42망,대,국내산)",망,EA,2,다봄푸드,y,,국내산,12990,n,CJ프레시웨이,자동발주,n,y,,,공통,,y,,
1378392,,농산물,채소류,[다봄] 깐 양파 10kg,10kg,EA,2,다봄푸드,y,,국내산,21990,n,다봄푸드,자동발주,n,y,,,공통,,y,,
1378393,,축산물,알류,[다봄] 특란 30알 (계란),5판,EA,2,다봄푸드,y,,국내산,30000,n,,자동발주,n,y,,,공통,,y,,
1378394,,조미료,유지류,오뚜기 마가린(파운드 450g) BOX,0.45KG,EA,2,기본 배송비(무료배송),y,,,33400,y,,자동발주,n,y,,,공통,,y,,
1378406,,일회용품,비닐류,500ml 음료수 전용 1구 포장 비닐 (5000매),5000EA,BOX,2,기본 배송비(무료배송),n,,,105000,y,,자동발주,n,y,,,공통,y,,y,
1378439,,유제품,유가공품,디오 눈꽃치즈 엔젤헤어 MCF64(모짜60/체다40) BOX,2kg x 6 / 12kg,BOX,2,기본 배송비(무료배송),n,,,125400,y,,자동발주,n,y,,,공통,,y,,y
